COCONUT ID,IUPAC Name,Generic Name,Unique SMILE,Clean SMILE,Sugar Free SMILE,Deep SMILE
CNP0000001,"10-hydroxy-2-methyl-14-(prop-1-en-2-yl)-4,7,13-trioxapentacyclo[9.2.2.0²,⁶.0²,¹⁰.0⁶,⁸]pentadecane-5,12-dione",Picrotoxinin,O=C1OC2C(C(=C)C)CC1C3(O)CC4OC54C(=O)OC[CH]253C,O=C1OC2C(C(=C)C)CC1C3(O)CC4OC54C(=O)OC[CH]253C,O=C1OC2C(C(=C)C)CC1C3(O)CC4OC54C(=O)OC[CH]253C,
CNP0000002,"5-{6-[(acetyloxy)methyl]-3-hydroxy-4-[(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy]-5-({2-[(sulfanylmethylidene)amino]but-2-enoyl}oxy)oxan-2-yl}-2-amino-5-hydroxy-3,6-dioxocyclohex-1-ene-1-carboxylic acid","5-{6-[(acetyloxy)methyl]-3-hydroxy-4-[(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy]-5-({2-[(sulfanylmethylidene)amino]but-2-enoyl}oxy)oxan-2-yl}-2-amino-5-hydroxy-3,6-dioxocyclohex-1-ene-1-carboxylic acid",O=C(O)C=1C(=O)C(O)(CC(=O)C1N)C2OC(COC(=O)C)C(OC(=O)C(N=CS)=CC)C(OC3OC(C)C(O)C(OC)C3)C2O,O=C(O)C=1C(=O)C(O)(CC(=O)C1N)C2OC(COC(=O)C)C(OC(=O)C(N=CS)=CC)C(OC3OC(C)C(O)C(OC)C3)C2O,O=C(O)C=1C(=O)C(O)CC(=O)C1N,
